Name,Food Source,Sample Size ,Biological Sample , Analytic Procedure  ,Literature name 
 Alpha-1-acid glycoprotein , - , - , Serum , Validated sandwich ELISA , PMC7284332 
 Alpha-2HS glycoprotein , rice bran , - , Plasma , LC-MS-SRM , ID2021 
 Alpha-aminoadipic acid , - , - , Plasma , - , PMC9926800b 
 Alpha-amylase , High-fat diet (HFD) , - , - , Biochemical assay , PMC3104359 
 alpha-Amylcinnamyl acetate , - , - , - , - , ID4579 
 alpha-Carotene , fish , - , - , - , ID1344 
 Alpha-carotene , - , - , Plasma , High-performance liquid chromatography , ID226 
 Alpha-carotene , - , - , - , - , PMC10459650 
 Alpha-carotene , - , - , - , - , PMC10609412 
 Alpha-carotene ," Fruit, vegetables ",1043, Dried blood spots , LC-UV , PMC5793277 
 alpha-carotene , fruit and vegetable , - , heparin plasma ," HPLC, ChromQuest 5.0 ", PMC6797314 
 Alpha-Carotene , - , n = 861 , Serum , HPLC , PMC7802176 
 Alpha-carotene , - , - , - , - , PMC8099133 
 Alpha-carotene , - , - , Plasma , - , PMC8232705 
 alpha-CEHC glucuronide , - , - ," Urine, Serum ", - , PMC10262995 
 alpha-CEHC glucuronide , - , - , - , - , PMC11600117b 
 alpha-CEHC glucuronide , - , - , - , - , PMC5621665d 
 alpha-CEHC sulfate , - , - , - , - , PMC5621665d 
 alpha-CEHC taurine , - , - ," Urine, Serum ", - , PMC10262995 
 Alpha-Cryptoxanthin , - ,862, - , High performance liquid chromatography , PMC7802176 
 Alpha-D-glucose , - , - , - , - , ID4614 
 Alpha-galactosidase B , - , - , - , - , PMC8185036 
 Alpha-galactosidase D , - , - , - , - , PMC8185036 
 Probable alpha-galactosidase B , - , - , - , - , PMC8185036 
 alpha-glutamylglutamate , - , - , - , - , PMC4455235 
 alpha-glutamylthreonine , - , - , - , - , PMC4455235 
 alpha-glutamyltryptophan , - , - , - , - , PMC4455235 
 alpha-glutamyltyrosine , - , - , - , - , PMC4455235 
 alpha-glutamylvaline , - , - , - , - , PMC4455235 
 Alpha-hydroxybutyrate ," high-fat, high-protein meat (HFPM) diet ", - , dried blood spot (DBS) , - , ID1747 
 Alpha-hydroxycaproate , Rice bran , 38 children , Plasma , - , ID354 
 alpha-hydroxycaproate , - , - , Fecal , - , PMC4455235 
 Alpha-hydroxyhippuric acid , - , - , - , - , ID3198 
 Alpha-hydroxyhippuric acid , - , - ," Urine, Plasma ", - , PMC11602792 
 alpha-hydroxyhippuric Acid , - , - , - , - , PMC9343475 
 alpha-hydroxyisocaproate , - , - , - , - , PMC4455235 
 Alpha-hydroxyisovalerate , - , - , Plasma ," LC-MS, GC-MS, HPLC-MS/MS ", PMC10673339 
 alpha-hydroxyisovalerate , - , - , - , - , PMC4455235 
 alpha-hydroxyisovalerate , - , - , - , - , PMC4927065 
 alpha-hydroxyisovalerate , - , - , - , - , PMC5621665d 
 Alpha-ketobutyrate , - , - , - , - , PMC5621665 
 alpha-ketoglutarate , - , - , - , - , PMC4455235 
 alpha-linolenic acid , - , - , - , - , ID1317 
 Alpha-linolenic acid , Plant-based foods , - , Adipose tissue , - , ID1467 
 Alpha-linolenic acid , - , - , Erythrocyte , - , ID285 
 Alpha-linolenic acid , Camelina sativa oil , - ," Erythrocyte membrane, Plasma lipids ", - , ID302 
 Alpha-linolenic acid ," vegetable oils, nuts, flaxseed oil ", - , - , - , PMC10323924 
 Alpha-linolenic acid , - , - , Blood , - , PMC6521039 
 Alpha-linolenic Acid , - , - , Plasma , - , PMC6770493 
 Alpha-linolenic acid , oils rich in omega-3 fatty acids , - ," whole plasma, adipose ", - , PMC6770493b 
 Alpha-linolenic acid , - , - , - , - , PMC7551231 
 Alpha-linolenic acid , - , - ," Maternal erythrocytes, Human milk ", - , PMC7551231b 
 Alpha-linolenic acid , 'Cerato' and 'Curniciello' dry beans , - , - , - , ID4743 
 Alpha-linolenic acid , - , - , - , - , PMC5373010 
 alpha-Linolenic acid , - , - , - , - , ID1344 
 Alpha-linolenic acid , - , 200 Costa Rican adults , Adipose tissue (fasting); RBC (fasting) , GC; GLC , ID879 
 Alpha-linolenic acid , - , - , - , - , PMC10534112 
 Alpha-linolenic acid , - , - , RBC membrane , - , PMC5497537 
 Alpha-Linolenic acid , Black beans , - , - , - , PMC9227771 
 alpha-muricholate , dietary fiber (RM) , - , fecal samples , - , PMC4455235 
 Alpha-N-arabinofuranosidase C , - , - , - , - , PMC8185036 
 Alpha-N-arabinofuranosidase A , - , - , - , - , PMC8185036 
 alpha-Terpinyl cinnamate , wine , - , urine , UPLC-QTOF-MS , PMC10673339 
 Alpha-tocopherol , - , - , - , Isocratic heart-cut 2-dimensional high-performance liquid chromatography with photo-diode array detection , ID1297 
 Alpha-tocopherol , - , - , Plasma , High-performance liquid chromatography , ID226 
 Alpha-tocopherol , - , - , Plasma , - , ID5259 
 Alpha-tocopherol , Dietary vitamin E , - , Circulating levels , - , PMC11190651 
 Alpha-Tocopherol , - , - , Serum , HPLC , PMC4000941 
 Alpha-tocopherol ," Hempseed, Eggs ", - , Egg yolks , - , PMC6538247 
 alpha-tocopherol , - , - , Plasma , HPLC , PMC6797314 
 Alpha-tocopherol , - , - , Serum , - , PMC7759127 
 Alpha-tocopherol , Multivitamins , - , - , - , PMC9003400 
 Alpha-tocotrienol , Rice bran , - , Fecal , - , PMC10136752 
 Alpha_Carotene , - , 40 subjects , - , - , PMC9741747 
 Alpha-Tocopherol , - , 40 subjects , - , - , PMC9741747 
 Alpinone , Acacia honey , - , - , - , ID5323 
 Altrose , - , - , Serum , - , ID2776 
 Amarouciaxanthin A , - , - ," Mice plasma, liver, Rats plasma "," LC/MS with LCQ-MS, HPLC and LC-MS (APCI) ", ID2613 
 Amataine , - , - , - , - , PMC11317665 
 AMAZ-02 glucuronide , - , - , Plasma , - , PMC8777576 
 Amide II , - , - , - , FTIR , PMC10254340 
 Amide I , - , - , - , FTIR , PMC10254340 
 gamma-aminobutyric acid , eggplant seed , - , - , - , ID2354 
 arginine ," eggplant seed, wheat seed ", - , - , MALDI imaging , ID2354 
 Amino acids , - , - , - , - , PMC10828408 
 Amino acids , doenjang , - , - , - , PMC8624193 
 Amino acids , Rice (landraces and cultivars) , 114 rice varieties (35 landraces and 79 cultivars) , Seed , Widely targeted metabolomic approach , PMC9142891 
 Aminoadipic acid , - , - , Serum , - , PMC7547851 
 aminoadipic acid , - , - , Plasma , UHPLC-DAD-QTOF , PMC9952125 
 Aminobutyric acid , - , - , - , - , PMC10534092 
 Aminoisobutyric acid ," high-fat, high-protein meat (HFPM) diet ", - , Urine (24-hour) , - , ID1747 
 Aminoisobutyric acid , - , - , - , - , ID3613 
 Aminomalonic acid , - , - , Serum , - , ID2776 
 Aminomalonic acid , Human milk , n=14; n=31 urine samples , Urine , GC-MS , PMC7400847b 
 Aminopeptidase , - , - , - , - , PMC7693931 
 Ammonia nitrogen , - , - ," Serum, Rumen Fluid "," Phenol sodium hypochlorite colorimetry, UV spectrophotometer ", PMC11466943 
 Ammonia-N , - , n=6 , Rumen ," Indophenol method, UV spectrophotometry ", PMC9642323 
 Ammonia , - , - , Rumen fluid , Conway method , ID3545 
 Ammonia , - , - , Fecal , Colorimetric method , PMC8158428 
 Ammonium , Protein intake , - , Urine (24hr) , Three-phase acid–base titration method , ID5087 
 Adenosine-5'-monophosphoric acid , - , - , Liver , - , PMC6770930 
 adenosine monophosphate , Scenedesmus (5% diet) , - , liver , - , PMC6770930b 
 Amylase , Dietary CP , - , - , - , PMC7858168 
 anabolic steroid esters , bovine muscle , - , - , DESI imaging , ID2354 
 Anacardic acid , Cashew nut shell , - , - , - , PMC2952894 
 Anaerostipes spp. , collapsed grains category (broccoli removed) , - , - , random forest model , ID5039 
 andro steroid monosulfate , - , - , - , - , PMC5621665d 
 Andro steroidmonosulfate , wine , - , plasma ," UPLC-MS/MS, GC-MS ", PMC10673339 
" Androstenediol (3beta,17beta) monosulfate ", wine , - , plasma , UPLC-MS/MS , PMC10673339 
" Androstenediol (3beta,17beta) disulfate (1) ", Liquor , - , - , - , ID958 
" Androstenediol (3beta,17beta) monosulfate (2) ", Liquor , - , - , - , ID958 
" Androstenediol (3beta,17beta) monosulfate ", rice bran , - , Urine , - , ID1035 
" Androstenediol (3beta,17beta) monosulfate ", wine , - , plasma , UPLC-MS/MS , PMC10673339 
 Androsterone sulfate , - , - , Urine , - , PMC11222465 
 androsterone sulfate , - , - , - , - , PMC5621665d 
 Anethole , Quinoa , - , - , - , ID3980 
 Anethole , Aniseed spirits , - , Blood , - , ID5438 
 Angeloylgomisin P , Schisandra chinensis herb , - , - ," LC–MS, GC–MS ", PMC8465241 
 Angiopoietin-like protein 4 , - , - , - , - , PMC10969769 
 Angolensin , - , - , - , - , ID3526 
 Anhydro-secoisolariciresinol , Dry seeds , - , - , PLS-DA , ID3664 
 Anhydro-secoisolariciresinol , - , - , - , - , ID3812 
 Anhydrolutein , - , - ," Rats plasma, liver, eyes ", HPLC and LC-MS (APCI+ve) , ID2613 
 Animal protein , - , - , - , - , ID1294 
 Anserine ," chicken, salmon ", - , Urine (24-hour) , - , ID1001 
 Anserine , - , - , - , - , ID1119 
 Anserine ," poultry, meats, oily fish ", - , - , - , ID1213 
 Anserine , Chicken , - , - , - , ID1539 
 Anserine ," Salmon, meat, chicken, fish ", - , - , - , ID2103 
 Anserine , Chicken , - , - , - , ID229 
 Anserine , Chicken , - ," Urine, Plasma ", - , ID2291 
 Anserine ," White meat, salmon ", - , Urine , - , ID518 
 Anserine ," Salmon, chicken, turkey ", - , Urine , - , ID5494 
 Anserine , Red meat , 10 subjects , Postprandial urine , FIE-FTICR-MS , ID917 
 Anserine , Chicken/poultry; Processed meat , - , - , - , ID927 
 Anserine , Meat and fish , 8 subjects ," Urine (spot, 24-h, fasting) ", FIE-FTICR-MS , ID971 
 Anserine , meat , - , Urine , UHPLC-MS/MS , PMC10146414 
 Anserine ," Chicken, poultry ", - , Urine , - , PMC11317775 
 Anserine , meat , - , - , - , PMC3581614 
 Anserine , - , - , Fecal , - , PMC4455235 
 anserine , - , - , - , - , PMC5621665d 
 Anserine ," Low-fat diet; healthy cluster (breakfast cereals, low-fat/skimmed milks, potatoes, fruit, fish, fish dishes) ", - , - , - , PMC6356665 
 Anserine , - , - , - , - , PMC6356665b 
 Anserine ," Salmon, cod, chicken ", - , FMV urine , - , PMC6497620 
 Anserine ," meat, chicken, salmon, tuna ", - ," Urine, Plasma ", - , PMC6937850b 
 Anserine ," Chicken, rabbit, tuna, salmon, beef ", 4 subjects (healthy women) ," Plasma, Urine ", - , PMC6937850c 
 anserine , - , - ," Plasma, Muscle ", NMR , PMC7143670 
 Anserine , Poultry , - ," Urine, Plasma ", - , PMC8072637 
 anserine , - , - , Plasma , - , PMC9460359 
 antheraxanthin ," Citrus species (e.g., C. aurantifolia, C. aurantium, C. clementina, C. grandis, C. hystrix, C. limon, C. limonimedica, C. medica, C. reticulata, C. sinensis) ", - , - , - , PMC8510114 
 Anthocyanins ," Berries (strawberry, sea buckthorn) ", - ," Urine (24-hour, spot) ", - , ID1001 
 anthocyanins ," blueberries, grapes, strawberries, black rice ", - , - ," MALDI, DESI ", ID2354 
 Anthocyanins , - , - , Urine , - , ID2882 
 Anthocyanins ," Sorghum (black-pericarp varieties), cooked PS-3 and PS-4 flour samples ", - , - , Untargeted metabolomic approach , ID3467 
 Anthocyanins , Radish microgreens , - , Freeze-dried radish sprouts ," pH differential method, Spectrophotometry (520 nm, 700 nm) ", PMC10536316 
 Anthocyanins , Cassava , - , - , Extraction and ultrasonic-assisted analysis , PMC11203269 
 Anthocyanins , Cherry tomatoes , - , - , - , PMC11274346 
 Anthocyanins , - , - ," Plasma, Urine ", - , PMC4477246 
 Anthocyanins ," Purple tomato, Purple rice ", - , - , - , PMC6706459 
 Anthocyanins , Maize , - , - , - , PMC7874058 
 anthocyanins , citrus fruits , - , - , - , PMC8510114 
 Anthocyanins , Red and black rice , - , - , - , PMC9142891 
 Anthocyanins ," Lettuce (red), bilberry ", - , - , - , PMC9219965 
 Anthocyanin , - , - , - , HPLC , ID3086 
 anthranilate , - , - , - , - , PMC4455235 
 Anthranilic acid , - , - , - , LC-MS/MS , PMC8246608 
 Anthranilic acid , - , - , Urine (24-hour) , - , ID1747 
 Anthranilic Acid , - , - , - , - , ID2301 
 anthranilic acid , C. latipes (citrus variety) , - , - , - , PMC8510114 
 AP sulfate , WG wheat , - , Urine , - , ID245 
 apigenin 4'-O-glucoside , - , - , - , - , PMC8621611 
" Apigenin 6,8-C-galactoside-C-arabinoside ", Buckwheat , - , - , - , ID3980 
" Apigenin 6,8-di-C-glucoside ", - , - , - , - , ID3667 
" Apigenin 6,8-di-C-glucoside ", - , - , - , - , ID3974 
" Apigenin 6,8-di-C-glucoside ", - , - , - , - , ID4213 
 Apigenin 6-C-glucoside , - , - , - , PLS-DA analysis , ID3427 
 Apigenin 6-C-glucoside , - , - , - , - , ID3740 
 Apigenin 6-C-glucoside , - , - , - , - , ID4294 
 Apigenin 6-C-glucoside , rice , - , - , - , PMC9142891 
 Apigenin 7-glucuronide , - , - , - , - , PMC10456218b 
 Apigenin 7-O-(6'-malonyl-apiosyl-glucoside) , bee pollen , - , - , - , ID4294 
 Apigenin 7-O-glucoside , - , - , - , - , ID3427 
 Apigenin 7-O-glucuronide , - , - , - , Untargeted metabolomics profiling , ID2953 
" Apigenin-6,8-C-dipentoside methyl ether ", - , - , - , - , ID4937 
" apigenin-6,8-di-C-glucoside "," Citrus species (e.g., C. aurantifolia, C. aurantium, etc.) ", - , - , - , PMC8510114 
 Apigenin-6-C-glucoside , Cocoa seeds , - , - , - , PMC8470844 
 apigenin-7-O-rutinoside ," Citrus species (e.g., C. sinensis) ", - , - , - , PMC8510114 
 Apigenin-8-C-glucoside , cocoa seed , - , - , - , PMC8470844 
 Apigenin-8-C-rhamnoside-6-C-hexoside , - , - , - , - , ID4937 
 Apigenin-C-xyloside-C-xyloside , Trigonella foenum-graecum (fenugreek sprouts) , - , - , - , ID4937 
 Apigeninidin , Sorghum (black-pericarp varieties) , - , - , - , ID3467 
 Apigenin ," Strawberry pineapple smoothie, blackberry cobbler ", - , - , - , ID1382 
 Apigenin , - , - , Urine , LC-MS , ID226 
 Apigenin , - , - , - , - , ID2724 
 Apigenin 7-O-apiosyl-glucoside , - , - , - , - , ID3535 
 Apigenin 7-O-diglucuronide , - , - , - , - , ID3535 
 Apigenin , Buckwheat , - , - , - , ID3980 
 Apigenin , Rice bran , - , Fecal metabolites , - , PMC10136752 
 Apigenin , All Wine; Apple & Pear; Citrus Fruits; Coffee; Olives; Red Wine; Tea , 475 subjects , Urine (24hr) , LASSO (Coeff:-0.017); RRR-VIP (VIP:1.261) , PMC5579590 
 apigenin , rice bran , - , stool , - , PMC5654571 
 Apigenin , Olive oils , - , - , - , PMC6770023 
 Apigenin , Orthosiphon stamineus Benth. , - , - , NMR-Based Metabolomics , PMC7145309 
 Apigenin , Cocoa seed , - , - , - , PMC8470844 
 apigenin ," Citrus species (C. aurantifolia, C. aurantium, C. clementina, etc.) ", - , - , - , PMC8510114 
" apigenin-6,8-di-C-glucoside "," Citrus species (C. aurantifolia, C. aurantium, C. clementina, etc.) ", - , - , - , PMC8510114 
 apigenin-7-O-rutinoside ," Citrus species (C. aurantifolia, C. aurantium, C. clementina, etc.) ", - , - , - , PMC8510114 
 Apigenin , - , - , - , - , PMC9219965 
 Apo-10'-lycopenal , - , - , - , RP-HPLC (C18 and C30) , ID2613 
 Apo-10-lycopenoids , - , - , Ferrets , RP-HPLC (C18 and C30) , ID2613 
 Apo-12'-lycopenal , - , - , F344 rat liver , HPLC-UV/VIS and ESI+ve mode , ID2613 
 Apo-14'-lycopenal , - , - , Food sample and human plasma , HPLC-MS/MS (APCI+ve) , ID2613 
 Apo-6'-lycopenal , - , - , Food sample and human plasma , HPLC-MS/MS (APCI+ve) , ID2613 
 Apo-8'-lycopenal , - , - , F344 rat liver , HPLC-UV/VIS and ESI+ve mode , ID2613 
 Apocarotenals , - , - , - , - , ID2215 
 Apolipophorin , - , - , Hemolymph , 1D SDS-PAGE , PMC10299212 
 Apolipoprotein A-II , LP diet , - ," Plasma, Serum "," ELISA, Proteomics ", ID4486 
 Apolipoprotein A1 ," Mediterranean diet, DASH diet ", - , - , - , ID478 
 Apolipoprotein A1 , - , - , Jejunum epithelium , - , PMC10300058 
 Apolipoprotein A1 , - , - , Serum , - , PMC8099102 
 Apolipoprotein A2 , - , - , Serum , - , PMC8099102 
 Apolipoprotein A4 , - , - , Jejunum epithelium , - , PMC10300058 
 Apolipoprotein A4 , - , - , Serum , - , PMC8099102 
 Apolipoprotein B , - , - , Serum , - , PMC8793029 
 Apolipoprotein B , - , - , - , - , PMC10300058 
 Apolipoprotein B , - , - , Serum , - , PMC8099102 
 Apolipoprotein B100 , - , - , Plasma , ELISA , PMC4976856 
 Apolipoprotein B100 ," Mediterranean, DASH, Palaeolithic diets ", - , - , - , ID478 
 Apolipoprotein C1 , - , - , Serum , - , PMC8099102 
 Apolipoprotein C2 , - , - , Serum , - , PMC8099102 
 Apolipoprotein C3 , - , - , Serum , - , PMC8099102 
 Apolipoprotein H , - , - , Serum , - , PMC8099102 
 Apolipoprotein-A1 , LC supplementation , - , Plasma , PEG-enhanced immunoturbidimetric assay (Siemens) , PMC4912751 
 Apolipoprotein-B , - , - , - , PEG-enhanced immunoturbidimetric assay (Siemens) , PMC4912751 
 Arabinitol , - , - , Serum , - , ID2776 
 Arabinofuranosyl , - , - , Serum , - , ID2776 
 Arabinose 4TMS ether ethyl oxime , - , - , - , - , ID3750 
 Arabinose , Rice bran , - , - , - , PMC10136752 
 Arabinose , - , - , - , - , PMC11064513 
 arabinose , - , - , Fecal , - , PMC4455235 
 Arabinose , Corn-soybean blend , - , - , - , PMC5998778 
 Arabinose , Arabinoxylan , - , Candida culture supernatant ," HPLC, TLC, Enzyme-based colorimetric assays, MS/MS ", PMC6925221c 
 Cyanidin3-O-xyloside/arabinoside , - , - , - , - , ID3812 
 Pelargonidin 3-O-arabinoside , - , - , - , - , ID3812 
 Delphinidin 3-O-arabinoside/xyloside , - , - , - , - , ID3812 
 Quercetin3-O-arabinoside/xyloside , - , - , - , - , ID3812 
 arabinoside , Buckwheat , - , - , - , ID3980 
 Arabinoxylan , Wheat , - , - , - , PMC6925221c 
 Arabionose , - , - , - , - , PMC7569771 
 Arabitol , Wakame , - , - , - , ID3525 
 Arabitol , - , - , Serum , - , ID947 
 Arabitol , Wine , - , Plasma ," LC-MS/MS, UPLC-MS/MS ", PMC10673339 
 Arabitol , Alcoholic beverages , - , - , - , PMC6134285 
 Arabitol , - , - , - , - , PMC7569771 
 Arabonate , wine , - , plasma ," LC-MS/MS, UPLC-MS/MS, H-NMR ", PMC10673339 
 Arachdic acid , - , - , - , - , PMC8852271 
 arachidate , - , 6 samples per group , Fecal metabolites , - , PMC4455235 
 Arachidate , - , - , - , - , ID5506 
 Arachidic acid , - , - , - , - , ID1314 
 Arachidic acid ," peanuts, macadamia nuts, canola oil ", 3179 older adults , Plasma phospholipid , - , ID534 
 Arachidic acid , - , 2448 participants , Plasma , - , PMC4310362 
 Arachidic acid , Meat (from steers supplemented with enzymes) , - , Meat (from steers) , - , PMC10788194 
 Arachidic acid , - , - , - , - , PMC10818399 
 Arachidic acid , Olive oil , - , - , - , ID2323 
 Arachidic acid , Lycium barbarum , - , - , - , ID2311 
 Arachidic acid , - , - , - , - , ID2483 
 Arachidic acid , - , - , Plasma , - , ID284 
 Arachidic acid , - ," 1 year (n=135), 2 years (n=133), 3 years (n=92) ", Serum (not identified) , - , ID286 
 Arachidic acid , CSO , 18 subjects ," Erythrocyte membrane, Plasma phospholipids ", - , ID302 
 Arachidic acid , - , - , Plasma , - , PMC6682955 
 Arachidic Acid , - , - , Plasma , - , PMC6770493 
 Arachidic acid , - , 200 participants ," Adipose, Plasma, CE, PL, TG+FFA ", - , PMC6770493b 
 Arachidic acid , sugarcane , - , - , - , PMC9480494 
 arachidonate , - , - , Plasma , - , PMC11600117b 
 arachidonate , - , - , - , - , PMC4455235 
 Arachidonate , - , - , Plasma , - , PMC6262854b 
 Arachidonate ," Eggs, lean meats (poultry, organ meats, fish) ", - , - , - , ID5506 
 Arachidonic acid , - , - ," Plasma (Cholesterol esters, Phosphatidylcholine, Lysophosphatidylcholine) ", - , ID1714 
 Arachidonic acid , - , - , - ," GC Analysis, LC-MS ", ID1162 
 Arachidonic acid , Meat ,32, Plasma , - , ID1177 
 Arachidonic acid , Meat , - , Plasma , - , ID1296 
 Arachidonic acid , - , - , Erythrocyte Membrane , - , ID1397 
 Arachidonic acid , - , - , Plasma , - , PMC4310362 
 Arachidonic acid ," meat, eggs, poultry ", - , RBC , - , PMC9526820 
 Arachidonic acid , - , - , Plasma , GC with flame ionization detection , ID573 
 Arachidonic acid , - , - , BeWo trophoblast cultures , - , PMC10456680 
 Arachidonic acid , - , - , - , - , PMC8852271 
 Arachidonic acid , - , - , Adipose Tissue , - , ID494 
 Arachidonic acid/EPA ratio , - , - , RBC phospholipid , - , PMC6521039 
 arachidonic acid , - , - , Plasma , - , ID277 
 Arachidonic acid , - , - ," Plasma, Erythrocyte phospholipids ", - , ID4082 
 Arachidonic acid , - , - , - , - , ID4262 
 Arachidonic acid , - , - ," Plasma phospholipid, ovarian tissue, uterine tissue ", FA analyses , ID505 
 Arachidonic acid , - , - , - , - , ID645 
 Arachidonic acid , - , - , Blood , - , PMC10019508 
 arachidonic acid , - , - , - , - , PMC10138823 
 Arachidonic acid , ARASCO oil , - , WAT , - , PMC10323924 
 Arachidonic acid , - , - , - , - , PMC11615262 
 Arachidonic acid ," Fish, Meat ", - , - , - , PMC5824444 
 Arachidonic acid , - , - , Plasma , - , PMC6682955 
 Arachidonic Acid , - , - , Plasma , - , PMC6770493 
 Arachidonic acid , - , - ," Plasma, Cholesteryl Ester, Phospholipid, Triglyceride + Free Fatty Acids ", - , PMC6770493b 
 Arachidonic acid , - , - , Plasma , - , PMC7400847b 
 Arachidonic acid , - , - , Human milk , - , PMC7551231 
 Arachidonic acid , - , - ," Erythrocytes, Human Milk ", Fatty Acid Analyses , PMC7551231b 
 Arachidonic acid , - , - , Plasma , - , PMC8384057 
 Arachidonic acid , - , - ," Liver, Plasma ", - , PMC5624939b 
 Arachidonic acid , - , - ," Plasma TG, Erythrocytes ", - , ID383 
 Arachidonic acid , - , - , Plasma , - , PMC8895221 
 Arachidonic acid ," Cyanobacteria, algae ", - , - , - , PMC5403934 
 Arachidonic acid , Modified HiPP infant formula , - , Plasma , Gas chromatographic analysis (Agilent 5890 II) , PMC6033437c 
 Arachidonic acid , Beaked redfish , - , Muscles , - , PMC8151303 
 Arachidonic acid , - , - , - , - , PMC8199403 
 Arachidonic acid , - , - , - , - , PMC10818399 
 Arachidonic acid , - , - , Erythrocytes , Fatty Acid Composition Analysis , PMC6566497 
 Arachidonic acid , Meat , - , - , - , PMC10788194 
 Arachidonic acid , - , - , - , - , PMC11767324 
 Arachidonic acid , - , - , Pectoral muscle , - , PMC9720343 
 Arachidonic acid , - , - , - , - , PMC6465680 
 Arachidonic acid , - ," 59/256 (Q1), 63/256 (Q2), 81/256 (Q3), 52/257 (Q4) ", - , - , ID102 
 Arachidonic Acid-biotin , - , - , - , - , ID3546 
 Arachidonic acid , - , - , - , - , ID1289 
 Arachidonic acid , - , - , - , - , ID1329 
 Arachidonic acid , - , - , - , - , ID1578 
 Arachidonic acid , - , - , - , - , ID1966 
 Arachidonic acid , - , - , - , - , ID2311 
 Arachidonic acid , - , - , Plasma , PCA , ID284 
 Arachidonic acid , - , - , Serum , - , ID286 
 Arachidonic acid , - , - , Plasma , - , ID2918 
 Arachidonic acid , Fatty fish , - ," Erythrocyte membrane, Plasma PL, Plasma CE, Plasma TG ", - , ID302 
 Arachidonic acid , - , - , - , - , ID477 
 Arachidonic acid , - , - , - , - , ID539 
 Arachidonic acid , - , - , - , - , PMC10377267 
 Arachidonic acid , plant oils , - , - , - , PMC10618909 
 Arachidonic acid , Wine , - , Plasma ," UPLC-MS/MS, GC-MS ", PMC10673339 
 1-stearoyl-2-arachidonoyl-GPC , - , - , Plasma ," LC-MS/MS, UPLC-MS/MS ", PMC10673339 
 Arachidonic acid , - , - , RBC membranes , - , PMC5373010 
 Arachidonic acid , - , - , Serum , - , PMC7160898 
 Arbutin , - , - , - , - , ID2301 
 Arbutin , Pear , - , - , - , ID2323 
 Arbutin , Pear , - , Plasma , untargeted metabolomics , ID5443 
 Arbutin , Pear intake , - , Plasma , - , ID5472 
 Arctigenin ," Sunflower, Flaxseed, Poppy, Pumpkin ", - , - , - , ID3664 
 Arctigenin , - , - , - , - , ID3808 
 Arecoline , Buckwheat , - , - , - , ID2311 
 arg-gly , - , - , - , - , ID3763 
 arg-ser , - , - , - , - , ID3763 
 Argenteane , - , - , Urine , - , PMC11222465 
 Arginine , - , - , Plasma , - , ID1594 
 Arginine , - , - , - , - , ID4614 
 Arginine , - , - , Plasma , - , PMC10818399 
 Arginine , - , - , - , - , PMC11668895 
 Arginine , - , - , Plasma , HPLC , PMC5502164 
 Arginine , - , - , Gastrocnemius skeletal muscles , - , PMC7230402 
 Arginine , - , - , Pectoral tissue , - , PMC9720343 
 Arginine ," high-fat, high-protein meat diet ", - , 24-Hour Urine , - , ID1747 
 Arginine ," Tomato, Sweet pepper ", - , - , - , ID1944 
 Arginine , - , - , Whole-body of fish larvae , - , ID2350 
 arginine ," eggplant, wheat seed ", - , - , MALDI , ID2354 
 arginine , soybean , - , - , \(^1\)H NMR , ID2624 
 Arginine , - , - , Plasma , Targeted HRM , ID4355 
 Arginine , FB (Fishball analogue) , - , - , - , ID4364 
 Arginine ," Cerato beans, Curniciello beans, Gallo Matese beans ", - , - , Amino acid analyzer , ID4743 
 Arginine ," meat, legumes, nuts ", - , - , - , ID854 
 Ornithine , - , - , - , - , ID854 
 Citrulline , - , - , - , - , ID854 
 Arginine ," Citrus: oranges, orange juice, grapefruit; Juice ", - , - , - , ID904 
 Arginine , - , - , - , - , ID94 
 Arginine , - , - , - , - , PMC10377267 
 Arginine ," Fish meal, black soldier fly larvae meal ", 15 subjects , Liver , - , PMC10451910 
 Arginine , - , - , - , - , PMC10534092 
 Arginine , Radish microgreens , - , - , - , PMC10536316 
 Arginine , polished rice , - , - , - , PMC10733476 
 Arginine , - , - , Plasma , - , PMC4069046 
 Arginine , - , - , - , - , PMC4455235 
 arginine , - , - , - , - , PMC5621665d 
 Arginine , - , - ," Plasma, Liver ", - , PMC6315421 
 Arginine , - , - , - , - , PMC6356665b 
 Arginine , - , - , - , - , PMC6689220 
 Arginine , - , - , Serum , - , PMC6770930 
 Arginine , Scenedesmus diet , - ," Serum, Liver ", - , PMC6770930b 
 Arginine , - , - , Serum , - , PMC7547851 
 Arginine , - , - , - , - , PMC7600507 
 Arginine , - ,141, - , - , PMC8902803 
 Asymmetric dimethylarginine , - ,141, - , - , PMC8902803 
 Symmetric dimethylarginine , - ,141, - , - , PMC8902803 
 Arginine , - , - , - , NMR-based metabolomics , PMC9455659 
 Arginine , - , - , Plasma , - , PMC9459903 
 Arginine , - , - , Plasma , - , PMC9460359 
 Arginine , Milk (liquid diet) , - , Plasma , AbsoluteIDQ p180 kit , PMC9926800b 
 argininosuccinate , - , - , - , - , PMC5621665d 
 Argininosuccinate , Corn-soybean blend , - , - , - , PMC5998778 
 Argininosuccinic acid , - , - , - , - , PMC10053316 
 arginylisoleucine , - , - , - , - , PMC4455235 
 arginylleucine , - , - , - , - , PMC4455235 
 arginylphenylalanine , - , - , - , - , PMC4455235 
 arginylproline , - , - , - , - , PMC4455235 
 arginylvaline , - , - , - , - , PMC4455235 
